keys,fr,en,es,it,pt,zh,ja
MENU_NEW_GAME,Nouvelle Partie,New Game,Nueva Partida,Nuova Partita,Novo Jogo,新游戏,ニューゲーム
MENU_CONTINUE,Continuer,Continue,Continuar,Continuare,Continuar,继续,つづきから
MENU_OPTIONS,Options,Options,Opciones,Opzioni,Opcoes,选项,オプション
MENU_RESET,Reinitialiser,Reset,Reiniciar,Ripristina,Reiniciar,重置,リセット
MENU_SAVE_QUIT,Sauvegarder et Quitter,Save and Quit,Guardar y Salir,Salva e Esci,Salvar e Sair,保存并退出,保存して終了
OPT_VIDEO,VIDEO,VIDEO,VIDEO,VIDEO,VIDEO,视频,ビデオ
OPT_AUDIO,AUDIO,AUDIO,AUDIO,AUDIO,AUDIO,音频,オーディオ
OPT_CALENDAR,CALENDRIER,CALENDAR,CALENDARIO,CALENDARIO,CALENDARIO,日历,カレンダー
OPT_LANGUAGE,LANGUE / Language,LANGUAGE,IDIOMA,LINGUA,IDIOMA,语言,言語
OPT_VOICE,VOIX / Voice,VOICE,VOZ,VOCE,VOZ,语音,ボイス
OPT_AI,INTELLIGENCE ARTIFICIELLE,ARTIFICIAL INTELLIGENCE,INTELIGENCIA ARTIFICIAL,INTELLIGENZA ARTIFICIALE,INTELIGENCIA ARTIFICIAL,人工智能,人工知能
RESOLUTION,Resolution :,Resolution:,Resolucion:,Risoluzione:,Resolucao:,分辨率:,解像度:
DISPLAY_MODE,Mode d'affichage :,Display Mode:,Modo de pantalla:,Modalita display:,Modo de exibicao:,显示模式:,表示モード:
DISPLAY_FULLSCREEN,Plein ecran,Fullscreen,Pantalla completa,Schermo intero,Tela cheia,全屏,フルスクリーン
DISPLAY_WINDOWED,Fenetre,Windowed,Ventana,Finestra,Janela,窗口,ウィンドウ
DISPLAY_BORDERLESS,Sans bordure,Borderless,Sin bordes,Senza bordi,Sem bordas,无边框,ボーダーレス
VSYNC,VSync :,VSync:,VSync:,VSync:,VSync:,垂直同步:,垂直同期:
FPS_LIMIT,Limite FPS :,FPS Limit:,Limite FPS:,Limite FPS:,Limite FPS:,FPS限制:,FPS制限:
MASTER_VOL,Volume Principal :,Master Volume:,Volumen Principal:,Volume Principale:,Volume Principal:,主音量:,マスター音量:
MUSIC_VOL,Volume Musique :,Music Volume:,Volumen Musica:,Volume Musica:,Volume Musica:,音乐音量:,音楽音量:
SFX_VOL,Volume Effets Sonores :,SFX Volume:,Volumen Efectos:,Volume Effetti:,Volume Efeitos:,音效音量:,効果音音量:
DATE_OVERRIDE,Date personnalisee :,Custom Date:,Fecha personalizada:,Data personalizzata:,Data personalizada:,自定义日期:,カスタム日付:
DATE_DAY,Jour:,Day:,Dia:,Giorno:,Dia:,日:,日:
DATE_MONTH,Mois:,Month:,Mes:,Mese:,Mes:,月:,月:
DATE_YEAR,Annee:,Year:,Ano:,Anno:,Ano:,年:,年:
LANG_LABEL,Langue / Language :,Language:,Idioma:,Lingua:,Idioma:,语言:,言語:
VOICE_MODE,Mode de voix :,Voice Mode:,Modo de voz:,Modalita voce:,Modo de voz:,语音模式:,ボイスモード:
VOICE_BANK_LABEL,Banque de sons :,Sound Bank:,Banco de sonidos:,Banco suoni:,Banco de sons:,声音库:,サウンドバンク:
VOICE_PRESET_LABEL,Preset voix :,Voice Preset:,Preset de voz:,Preset voce:,Preset de voz:,语音预设:,ボイスプリセット:
BRAIN_LABEL,Cerveaux IA :,AI Brains:,Cerebros IA:,Cervelli IA:,Cerebros IA:,AI大脑:,AIブレイン:
VOICE_SPOKEN,Voix Parlee,Spoken Voice,Voz Hablada,Voce Parlata,Voz Falada,语音,音声
VOICE_ROBOT,Voix Robot,Robot Voice,Voz Robot,Voce Robot,Voz Robo,机器人语音,ロボット音声
VOICE_DISABLED,Desactivee,Disabled,Desactivada,Disattivata,Desativada,禁用,無効
VOICE_BANK_CLASSIC,Classique,Classic,Clasico,Classico,Classico,经典,クラシック
VOICE_BANK_HIGH,"Aigu (Peppy)","High (Peppy)","Agudo (Peppy)","Acuto (Peppy)","Agudo (Peppy)",高音（活泼）,ハイ（ペッピー）
VOICE_BANK_LOW,"Grave (Cranky)","Low (Cranky)","Grave (Cranky)","Grave (Cranky)","Grave (Cranky)",低音（暴躁）,ロー（クランキー）
VOICE_BANK_VERY_LOW,Tres grave,Very Low,Muy grave,Molto grave,Muito grave,极低音,ベリーロー
VOICE_BANK_MEDIUM,Medium,Medium,Medio,Medio,Medio,中音,ミディアム
VOICE_BANK_ROBOT_BEEP,Robot Beep,Robot Beep,Robot Beep,Robot Beep,Robot Beep,机器人蜂鸣,ロボットビープ
VOICE_BANK_GLITCH,Glitch Bot,Glitch Bot,Glitch Bot,Glitch Bot,Glitch Bot,故障机器人,グリッチボット
VOICE_BANK_WHISPER,Synth Whisper,Synth Whisper,Synth Whisper,Synth Whisper,Synth Whisper,合成耳语,シンセウィスパー
VOICE_BANK_DROID,"Droid (R2D2)","Droid (R2D2)","Droid (R2D2)","Droid (R2D2)","Droid (R2D2)",机器人（R2D2）,ドロイド（R2D2）
VOICE_PRESET_SOFT,Doux,Soft,Suave,Dolce,Suave,柔和,ソフト
VOICE_PRESET_QUILL,Plume,Quill,Pluma,Piuma,Pluma,羽毛,クイル
VOICE_PRESET_CRYSTAL,Cristal,Crystal,Cristal,Cristallo,Cristal,水晶,クリスタル
VOICE_PRESET_ANCIENT,Ancien,Ancient,Anciano,Antico,Antigo,古老,エンシェント
VOICE_PRESET_NORMAL,Normal,Normal,Normal,Normale,Normal,正常,ノーマル
VOICE_PRESET_HIGH,Aigu,High,Agudo,Acuto,Agudo,高音,ハイ
VOICE_PRESET_LOW,Grave,Low,Grave,Grave,Grave,低音,ロー
VOICE_PRESET_CHILD,Enfant,Child,Nino,Bambino,Crianca,儿童,子ども
VOICE_PRESET_WISE,Sage,Wise,Sabio,Saggio,Sabio,智者,ワイズ
VOICE_PRESET_JOYFUL,Joyeux,Joyful,Alegre,Gioioso,Alegre,欢乐,ジョイフル
VOICE_PRESET_MYSTERIOUS,Mysterieux,Mysterious,Misterioso,Misterioso,Misterioso,神秘,ミステリアス
BRAIN_AUTO,"Auto (recommande)","Auto (Recommended)","Auto (recomendado)","Auto (raccomandato)","Auto (recomendado)",自动（推荐）,自動（推奨）
BRAIN_AUTO_INFO,Detection automatique selon votre machine,Automatic detection based on your system,Deteccion automatica segun tu maquina,Rilevamento automatico basato sul sistema,Detecao automatica baseada no sistema,根据您的系统自动检测,システムに基づく自動検出
BRAIN_DUAL,"2 cerveaux (Narrateur + Maitre du Jeu)","2 Brains (Narrator + Game Master)","2 cerebros (Narrador + Director)","2 cervelli (Narratore + Game Master)","2 cerebros (Narrador + Mestre)",2个大脑（叙述者+游戏大师）,2ブレイン（ナレーター+GM）
BRAIN_DUAL_INFO,"~4.4 GB RAM — Generation parallele narrative + effets","~4.4 GB RAM — Parallel narrative + effects generation","~4.4 GB RAM — Generacion paralela narrativa + efectos","~4.4 GB RAM — Generazione parallela narrativa + effetti","~4.4 GB RAM — Geracao paralela narrativa + efeitos",~4.4 GB RAM — 并行叙事+效果生成,~4.4 GB RAM — 並列ナラティブ+エフェクト生成
BRAIN_TRIPLE,"3 cerveaux (+ Worker prefetch)","3 Brains (+ Worker Prefetch)","3 cerebros (+ Worker prefetch)","3 cervelli (+ Worker prefetch)","3 cerebros (+ Worker prefetch)",3个大脑（+Worker预取）,3ブレイン（+Worker先読み）
BRAIN_TRIPLE_INFO,"~6.6 GB RAM — Prefetch cartes en arriere-plan, zero latence","~6.6 GB RAM — Prefetch cards in background, zero latency","~6.6 GB RAM — Precarga en segundo plano, latencia cero","~6.6 GB RAM — Prefetch carte in background, zero latenza","~6.6 GB RAM — Prefetch cartas em segundo plano, latencia zero",~6.6 GB RAM — 后台预取卡牌，零延迟,~6.6 GB RAM — バックグラウンド先読み、ゼロレイテンシー
MSG_SETTINGS_RESET,Parametres reinitialises,Settings Reset,Ajustes reiniciados,Impostazioni ripristinate,Configuracoes reiniciadas,设置已重置,設定がリセットされました
ASPECT_BODY,Corps,Body,Cuerpo,Corpo,Corpo,身体,体
ASPECT_SOUL,Ame,Soul,Alma,Anima,Alma,灵魂,魂
ASPECT_WORLD,Monde,World,Mundo,Mondo,Mundo,世界,世界
STATE_EXHAUSTED,Epuise,Exhausted,Agotado,Esausto,Esgotado,疲惫,疲弊
STATE_ROBUST,Robuste,Robust,Robusto,Robusto,Robusto,强壮,頑健
STATE_OVERWORKED,Surmene,Overworked,Sobrecargado,Sovraccarico,Sobrecarregado,过劳,過労
STATE_LOST,Perdue,Lost,Perdida,Perduta,Perdida,迷失,迷い
STATE_CENTERED,Centree,Centered,Centrada,Centrata,Centrada,居中,中心
STATE_POSSESSED,Possedee,Possessed,Poseida,Posseduta,Possuida,附身,憑依
STATE_EXILED,Exile,Exiled,Exiliado,Esiliato,Exilado,流放,追放
STATE_INTEGRATED,Integre,Integrated,Integrado,Integrato,Integrado,融合,統合
STATE_TYRANT,Tyran,Tyrant,Tirano,Tiranno,Tirano,暴君,暴君
ANIMAL_BOAR,sanglier,boar,jabali,cinghiale,javali,野猪,猪
ANIMAL_RAVEN,corbeau,raven,cuervo,corvo,corvo,乌鸦,大鴉
ANIMAL_STAG,cerf,stag,ciervo,cervo,cervo,雄鹿,雄鹿
SOUFFLE,Souffle,Breath,Aliento,Soffio,Sopro,气息,息吹
KARMA,Karma,Karma,Karma,Karma,Karma,因果,カルマ
LIFE,Vie,Life,Vida,Vita,Vida,生命,命
DIFFICULTY_EASY,Facile,Easy,Facil,Facile,Facil,简单,簡単
DIFFICULTY_NORMAL,Normal,Normal,Normal,Normale,Normal,普通,普通
DIFFICULTY_HARD,Difficile,Hard,Dificil,Difficile,Dificil,困难,難しい
DIFFICULTY_VERY_HARD,Tres difficile,Very Hard,Muy dificil,Molto difficile,Muito dificil,非常困难,非常に難しい
